Profile Name,Profile Link,Profile Image Link,Following,Blue Check
charles_leclerc,https://www.instagram.com/charles_leclerc/,False,True,True
scuderiaferrari,https://www.instagram.com/scuderiaferrari/,False,True,True
danielricciardo,https://www.instagram.com/danielricciardo/,https://instagram.fblr2-3.fna.fbcdn.net/v/t51.2885-19/340698228_772398137534906_2709636163037768467_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fblr2-3.fna.fbcdn.net&_nc_cat=1&_nc_ohc=nb2Jw2kZqB0AX_37DMy&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfB8qVD9reVlrZ7D_ErbZAUzBSetagMMR8M_jkNqBwLyrw&oe=652633CF&_nc_sid=ce9561,True,True
mercedesamgf1,https://www.instagram.com/mercedesamgf1/,False,True,True
astonmartinf1,https://www.instagram.com/astonmartinf1/,False,True,True
redbullracing,https://www.instagram.com/redbullracing/,False,True,True
mclaren,https://www.instagram.com/mclaren/,False,True,True
lewishamilton,https://www.instagram.com/lewishamilton/,False,True,True
fernandoalo_oficial,https://www.instagram.com/fernandoalo_oficial/,https://instagram.fblr2-3.fna.fbcdn.net/v/t51.2885-19/269877096_284168757021429_6325678098858866720_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fblr2-3.fna.fbcdn.net&_nc_cat=1&_nc_ohc=Skw_neeJNVIAX-uDMfe&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfCZVeRBNtz1fMVrBvWjhjnG_d60ZS186jbsmRRipRDuxg&oe=6526F91D&_nc_sid=ce9561,True,True
maxverstappen1,https://www.instagram.com/maxverstappen1/,False,True,True
